game_pk,game_date,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_win,point_diff,home_sp_id,away_sp_id,HOME_L10_WIN_PCT,HOME_L5_WIN_PCT,HOME_L20_WIN_PCT,HOME_L10_RD,HOME_L5_RD,HOME_L20_RD,HOME_L10_RUNS_FOR,HOME_L10_RUNS_AGN,HOME_L20_RUNS_FOR,HOME_L20_RUNS_AGN,AWAY_L10_WIN_PCT,AWAY_L5_WIN_PCT,AWAY_L20_WIN_PCT,AWAY_L10_RD,AWAY_L5_RD,AWAY_L20_RD,AWAY_L10_RUNS_FOR,AWAY_L10_RUNS_AGN,AWAY_L20_RUNS_FOR,AWAY_L20_RUNS_AGN,HOME_SP_ERA,HOME_SP_WHIP,HOME_SP_K9,HOME_SP_FIP,HOME_SP_BB9,HOME_SP_K_BB_PCT,HOME_SP_HR9,HOME_SP_IP,HOME_SP_IS_LEFT,AWAY_SP_ERA,AWAY_SP_WHIP,AWAY_SP_K9,AWAY_SP_FIP,AWAY_SP_BB9,AWAY_SP_K_BB_PCT,AWAY_SP_HR9,AWAY_SP_IP,AWAY_SP_IS_LEFT,HOME_BP_ERA,HOME_BP_WHIP,HOME_BP_K_BB,HOME_BP_IP_LAST_3D,HOME_BP_IP_YESTERDAY,HOME_BP_RELIEVERS_LAST_3D,HOME_BP_RELIEVERS_YESTERDAY,HOME_BP_TOP_USED_YESTERDAY,AWAY_BP_ERA,AWAY_BP_WHIP,AWAY_BP_K_BB,AWAY_BP_IP_LAST_3D,AWAY_BP_IP_YESTERDAY,AWAY_BP_RELIEVERS_LAST_3D,AWAY_BP_RELIEVERS_YESTERDAY,AWAY_BP_TOP_USED_YESTERDAY,WIN_PCT_DIFF,RD_DIFF,ERA_DIFF,WHIP_DIFF,K9_DIFF,FIP_DIFF,BB9_DIFF,K_BB_PCT_DIFF,HR9_DIFF,SP_IP_DIFF,SP_HAND_DIFF,WIN_PCT_DIFF_L20,RD_DIFF_L20,BP_ERA_DIFF,BP_WHIP_DIFF,BP_K_BB_DIFF,BP_IP_LAST_3D_DIFF,BP_IP_YESTERDAY_DIFF,BP_RELIEVERS_LAST_3D_DIFF,BP_RELIEVERS_YESTERDAY_DIFF,BP_TOP_USED_YESTERDAY_DIFF,BALLPARK_FACTOR
778539,2025-03-29,MIA,PIT,146,134,5,4,1,1,678368.0,663559.0,0.5,0.5,0.5,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,2.16,1.08,1.5,8.333,4.0,5,2,0,7.9412,2.2941,1.0,5.667,3.0,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-5.7812,-1.2140999999999997,0.5,2.6660000000000004,1.0,-3,-1,-1,0.97
778521,2025-03-29,SEA,ATH,136,133,2,4,0,-2,682243.0,674370.0,0.5,0.5,0.5,-2.5,-2.5,-2.5,2.0,4.5,2.0,4.5,0.5,0.5,0.5,2.5,2.5,2.5,4.5,2.0,4.5,2.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,9.0,2.3333,0.75,6.0,4.0,6,4,1,5.4,1.8,1.0,5.0,3.0,6,3,1,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-5.0,3.5999999999999996,0.5332999999999999,-0.25,1.0,1.0,0,1,0,0.97
778533,2025-03-29,LAD,DET,119,116,7,3,1,4,808963.0,681857.0,1.0,1.0,1.0,2.0,2.0,2.0,6.5,4.5,6.5,4.5,0.0,0.0,0.0,-2.0,-2.0,-2.0,4.5,6.5,4.5,6.5,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.0,1.5556,2.6,9.0,5.0,9,5,1,8.1,0.9,9.0,6.667,3.667,7,4,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,4.0,-4.1,0.6556000000000001,-6.4,2.333,1.3330000000000002,2,1,0,0.99
778520,2025-03-29,SD,ATL,135,144,1,0,1,1,681190.0,680885.0,1.0,1.0,1.0,2.0,2.0,2.0,5.5,3.5,5.5,3.5,0.0,0.0,0.0,-2.0,-2.0,-2.0,3.5,5.5,3.5,5.5,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,0.8182,0.7273,3.25,11.0,4.667,10,4,1,7.5,1.0,4.0,6.0,3.0,7,3,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,4.0,-6.6818,-0.27270000000000005,-0.75,5.0,1.6669999999999998,3,1,0,0.97
778530,2025-03-29,HOU,NYM,117,121,2,1,1,1,681293.0,656288.0,0.5,0.5,0.5,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,1.8,1.4,1.75,5.0,3.0,6,4,1,0.0,0.8182,1.75,7.333,4.0,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.8,0.5817999999999999,0.0,-2.333,-1.0,0,0,0,1.0
778531,2025-03-29,TEX,BOS,140,111,4,3,1,1,641816.0,621111.0,0.5,0.5,0.5,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,3.8571,1.4286,1.75,7.0,4.0,9,5,1,0.0,0.4737,4.0,6.333,2.333,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.8571,0.9549000000000001,-2.25,0.6669999999999998,1.6669999999999998,4,3,1,1.03
778532,2025-03-29,AZ,CHC,109,112,3,4,0,-1,694297.0,684007.0,0.5,0.5,0.5,1.5,1.5,1.5,7.0,5.5,7.0,5.5,0.5,0.5,0.5,-1.5,-1.5,-1.5,5.5,7.0,5.5,7.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,6.2308,1.1538,5.0,8.667,3.667,6,3,0,5.8696,1.3043,4.0,7.667,3.667,6,2,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.3612000000000002,-0.15050000000000008,1.0,1.0,0.0,0,1,0,1.0
778536,2025-03-29,TOR,BAL,141,110,5,9,0,-4,453286.0,665152.0,0.5,0.5,0.5,-2.0,-2.0,-2.0,5.0,7.0,5.0,7.0,0.5,0.5,0.5,2.0,2.0,2.0,7.0,5.0,7.0,5.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,7.7143,1.5714,1.3333,7.0,3.0,8,3,1,3.5217,1.9565,1.1667,7.667,4.667,6,3,0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-4.0,4.1926,-0.3851,0.16659999999999986,-0.6669999999999998,-1.6669999999999998,2,0,1,0.96
778513,2025-03-30,SEA,ATH,136,133,2,1,1,1,693433.0,676664.0,0.3333,0.3333,0.3333,-2.3333,-2.3333,-2.3333,2.0,4.3333,2.0,4.3333,0.6667,0.6667,0.6667,2.3333,2.3333,2.3333,4.3333,2.0,4.3333,2.0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,5.7857,1.8214,1.5,9.333,3.333,9,3,1,3.0,1.4444,1.8571,9.0,4.0,10,4,1,-0.3334,-4.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3334,-4.6666,2.7857000000000003,0.377,-0.3571,0.3330000000000002,-0.6669999999999998,-1,-1,0,0.97
778515,2025-03-30,AZ,CHC,109,112,10,6,1,4,593958.0,571510.0,0.3333,0.3333,0.3333,0.6667,0.6667,0.6667,5.6667,5.0,5.6667,5.0,0.6667,0.6667,0.6667,-0.6667,-0.6667,-0.6667,5.0,5.6667,5.0,5.6667,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,5.4,1.0286,7.0,11.667,3.0,9,3,1,6.5172,1.7586,3.6667,9.667,2.0,8,2,1,-0.3334,1.3334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3334,1.3334,-1.1171999999999995,-0.73,3.3333,2.0,1.0,1,1,0,1.0
