team,bp_era,bp_whip,bp_k_bb,bp_ip_last_3d,bp_ip_yesterday,bp_relievers_last_3d,bp_relievers_yesterday,bp_top_used_yesterday
TEX,3.47,1.18,2.9,0.0,0.0,0.0,0.0,0.0
MIL,3.58,1.23,2.68,0.0,0.0,0.0,0.0,0.0
SD,3.63,1.21,2.66,0.0,0.0,0.0,0.0,0.0
CLE,3.7,1.26,2.62,0.0,0.0,0.0,0.0,0.0
BOS,3.7,1.29,2.57,0.0,0.0,0.0,0.0,0.0
KC,3.73,1.24,2.66,0.0,0.0,0.0,0.0,0.0
PIT,3.76,1.22,2.78,0.0,0.0,0.0,0.0,0.0
PHI,3.79,1.23,3.38,0.0,0.0,0.0,0.0,0.0
CHC,3.79,1.18,3.12,0.0,0.0,0.0,0.0,0.0
SF,3.82,1.3,2.68,0.0,0.0,0.0,0.0,0.0
HOU,3.86,1.22,2.96,0.0,0.0,0.0,0.0,0.0
CIN,3.86,1.22,2.79,0.0,0.0,0.0,0.0,0.0
SEA,3.87,1.22,3.14,0.0,0.0,0.0,0.0,0.0
NYY,3.91,1.25,2.59,0.0,0.0,0.0,0.0,0.0
TB,3.94,1.22,2.99,0.0,0.0,0.0,0.0,0.0
DET,3.95,1.25,2.84,0.0,0.0,0.0,0.0,0.0
LAD,3.95,1.26,2.67,0.0,0.0,0.0,0.0,0.0
NYM,4.03,1.32,2.49,0.0,0.0,0.0,0.0,0.0
TOR,4.19,1.27,2.77,0.0,0.0,0.0,0.0,0.0
CWS,4.26,1.36,2.16,0.0,0.0,0.0,0.0,0.0
STL,4.29,1.32,2.62,0.0,0.0,0.0,0.0,0.0
ATL,4.36,1.31,2.67,0.0,0.0,0.0,0.0,0.0
AZ,4.49,1.32,2.58,0.0,0.0,0.0,0.0,0.0
MIN,4.55,1.31,2.99,0.0,0.0,0.0,0.0,0.0
MIA,4.6,1.3,2.55,0.0,0.0,0.0,0.0,0.0
BAL,4.6,1.37,2.58,0.0,0.0,0.0,0.0,0.0
ATH,4.7,1.36,2.32,0.0,0.0,0.0,0.0,0.0
LAA,4.89,1.43,2.06,0.0,0.0,0.0,0.0,0.0
WSH,5.35,1.45,2.2,0.0,0.0,0.0,0.0,0.0
COL,5.97,1.58,1.97,0.0,0.0,0.0,0.0,0.0
